title,author,publisher,releaseYear,description
Oranges Are Not the Only Fruit: A Novel,Jeanette Winterson,"Random House Group Ltd, London ; Boston",1985,"This Is The Story Of Jeanette, Adopted And Brought Up By Her Mother As One Of God's Elect. Zealous And Passionate, She Seems Seems Destined For Life As A Missionary, But Then She Falls For One Of Her Converts. At Sixteen, Jeanette Decides To Leave The Church, Her Home And Her Family, For The Young Woman She Loves. Innovative, Punchy And Tender, Oranges Are Not The Only Fruit Is A Few Days Ride Into The Bizarre Outposts Of Religious Excess And Human Obsession. With A New Introduction By The Author 'witty, Bizarre, Extraordinary And Exhilarating' The Times 'she Is A Master Of Her Material, A Writer In Whom Great Talent Abides' Vanity Fair 'many Consider Her To Be The Best Living Writer In This Language... In Her Hands, Words Are Fluid, Radiant, Humming' Evening Standard 'a Novel That Deserves Revisiting' Observer 'a Wonderful Rites-of-passage Novel' Mariella Frostrup"
Mourning Becomes Electra,"O'Neill, Eugene, 1888-1953",The University of Adelaide Library,2015,Mourning Becomes Electra / Eugene O'Neill
Pretending With Love : A Fake Relationship Secret Agent Romance (Arcadian Intelligence Book 2),Amber Ford,,2022,
Dinosaur Moon - Vampire for Hire Book 37,J. R. Rain,"Rain Press, 37",2026,"When priceless dinosaur fossils vanish from a Southern California museum, private investigator Samantha Moon is called in to recover the bones.
Sounds simple enough.
But Samantha isn’t just a PI. She’s a vampire with a few extra tricks up her sleeve. And the theft of ancient raptor fossils is only the beginning.
As Sam digs deeper, she uncovers a case tangled in black-market dealings, dark magic, and something far more dangerous than ordinary criminals. At the same time, life at home refuses to slow down. Her daughter Tammy takes on her very first investigation, her empathic youngest senses trouble on the horizon, and a quiet family dinner may be the calm before a very strange storm.
What begins as a straightforward recovery job soon reveals sharp teeth hidden beneath the surface. Because in Sam’s world, nothing is ever  just  bones.
Dinosaur Moon  is a fast-paced supernatural mystery filled with action, humor, heart, and a dash of mischief, perfect for fans of urban fantasy, paranormal detectives, and the long-running Samantha Moon series...
Pre-order today!"
Beach Set Bikinis 3: A HaremLit Slice of Life,Colby Gray,Google livros / Self-published,2025,"Beach Set Bikinis is a HaremLit Slice of Life. Owen becomes the photographer of a small town Volleyball team.
He's tasked with getting individual profile shots of all the girls all while trying to keep the house together."
Shiloh: A Novella of the Civil War,Philip Fracassi,"Independent Legions Publishing, Trieste",2020,"For two days in the year 1862, the bloodiest battle of the American Civil War held theatre in southern Tennessee - a patch of land called Shiloh. Thousands of soldiers on both sides of the conflict lost their lives, and tens of thousands more were badly injured. For twin brothers Henry and William, infantry soldiers in the Confederate Army, the battle held more than the horrors of war. It was a portal to something beyond mankind, where demons tread and angels fly, where the spilling of blood brings not only death, but eternal damnation. This edition also includes the bonus tale 'King Mob'.
Cover art by Ben Baldwin
""Read SHILOH (cause it's fantastic...) It's an instant classic. "" -Josh Malerman, author of 'Bird Box' and 'Malorie'"
Correction of underweight and overweight by exercise,C. O. Benson,,2025,
Planning Major Infrastructure: A Critical Analysis,Marshall Tim,Routledge,2013,"Recording Music on Location provides an excellent array of information on all aspects of recording outside the confines of the studio. Whether recording in the local blues club or a in an orchestra hall Bartlett explains clearly how to achieve professional results. Describing the latest technological developments in portable digital multitrack recorders and high-quality mixers, this book emphasises that recording on location is becoming possible for everyone. From planning on paper to the practical aspects of the set up, this book offers you expert advice on every stage of recording on location. Polish your skills for recording surround sound by following the written and audio examples of different miking techniques. Packed with hints and tips on how to make location recording easier for you this book is a great reference for anyone planning to venture outside the studio. The included audio CD demonstrates topics throughout the book. •Learn quickly the skills needed to achieve professional results when recording classical or popular music on-location •Pick up practical tips and shortcuts for easier setup and takedown •Audio and written examples provide invaluable information on all stages of on-location recording."
"Top Tier Providence, Secretly Cultivate for a Thousand Years",Let me laugh,,2024,"Being reincarnated in a cultivation world, Han Jue realizes that he can live his life like a video game. He can reroll his cultivation potential and connate providence.
So, he spends 11 years rerolling for a good one...[Unparalleled: Immortal beauty, top-notch charm][Destined Sword Fanatic: Top-notch Sword Dao aptitude, top-notch Sword Dao comprehension][Unparalleled Movement Technique: Top-notch movement technique aptitude][Descendant of the Immortal Emperor: You will receive an unparalleled cultivation technique and 1,000 superior-grade spirit stones]
In pursuit of longevity, Han Jue decides to cultivate in a low-profile manner.
A thousand years later, generations of cultivators have become history.
That is when the Immortal Realm decides to clean up the mortal world. So, Han Jue finally has no choice but to take action.
Then he realizes, deities and gods aren’t that powerful after all!"
The Distance of the Moon (Penguin Modern),Italo Calvino,"Penguin Books, Limited, Penguin Modern, London",2018,"'Time is a catastrophe, perpetual and irreversible.'
Science and fiction interweave delightfully in these playful  Cosmicomic  short stories.
Penguin Modern: fifty new books celebrating the pioneering spirit of the iconic Penguin Modern Classics series, with each one offering a concentrated hit of its contemporary, international flavour. Here are authors ranging from Kathy Acker to James Baldwin, Truman Capote to Stanislaw Lem and George Orwell to Shirley Jackson; essays radical and inspiring; poems moving and disturbing; stories surreal and fabulous; taking us from the deep South to modern Japan, New York's underground scene to the farthest reaches of outer space."
"Biorefineries and Chemical Processes : Design, Integration and Sustainability Analysis",Jhuma Sadhukhan & Kok Siew Ng & Elias Martinez Hernandez,"Wiley & Sons, Incorporated, John, John Wiley & Sons, Inc., Chichester, West Sussex",2014,"As the range of feedstocks, process technologies and products expand, biorefineries will become increasingly complex manufacturing systems. B iorefineries and Chemical Processes: Design, Integration and Sustainability Analysis  presents process modelling and integration, and whole system life cycle analysis tools for the synthesis, design, operation and sustainable development of biorefinery and chemical processes.
Topics covered include:
Introduction:  An introduction to the concept and development of biorefineries.
Tools:  Included here are the methods for detailed economic and environmental impact analyses; combined economic value and environmental impact analysis; life cycle assessment (LCA); multi-criteria analysis; heat integration and utility system design; mathematical programming based optimization and genetic algorithms.
Process synthesis and design:  Focuses on modern unit operations and innovative process flowsheets. Discusses thermochemical and biochemical processing of biomass, production of chemicals and polymers from biomass, and processes for carbon dioxide capture.
Biorefinery systems:  Presents biorefinery process synthesis using whole system analysis. Discusses bio-oil and algae biorefineries, integrated fuel cells and renewables, and heterogeneous catalytic reactors.
Companion website:  Four case studies, additional exercises and examples are available online, together with three supplementary chapters which address waste and emission minimization, energy storage and control systems, and the optimization and reuse of water.
This textbook is designed to bridge a gap between engineering design and sustainability assessment, for advanced students and practicing process designers and engineers."
Young Voices Unheard: Children’s Views from Scotland and Greece on Education,Evanthia Synodi,Bentham Science Publishers,2023,
Performing Math: A History of Communication and Anxiety in the American Mathematics Classroom,Andrew Fiss,"Rutgers University Press, None",,
Dark Connections,Erik Hamre,,2025,"When she was nineteen years old, Dr. Vivian May took a part-time job at a palliative care centre to learn the wisdom of life from the dying.
Then everybody just stopped dying.
Twenty years later, she is an established couples therapist working out of Bondi, Australia, when a voice from her dark past reaches out. At the same time, the backpacking daughter of a high-profile Indian politician goes missing near the Parkes Observatory.
In a matter of hours, Vivian’s carefully constructed life unravels.
The main suspect in the disappearance of the politician’s daughter claims she was abducted by aliens.
And he’s not the first to make such claims.
Global conspiracies, secret research programs, dating advice..."
Braxton,Jen Cooper,2,2025,"Braxton Trux.
The Water Pack Alpha. A winterborn, Alpha that was never meant to exist. But he does because dark magic forced him into it. That and a witch he swears he will never trust again."
